Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-31 00:00:00,300,8,-0.0064619442477003
AggReturn,2019-01-31 00:00:00,500,12,0.0059559063285074
AggReturn,2019-01-31 00:00:00,500,16,0.0072098459438948
AggReturn,2019-01-31 00:00:00,500,4,-0.0063737512628669
AggReturn,2019-01-31 00:00:00,500,8,0.0089158087297002
AggReturn,2019-01-31 00:00:00,800,12,0.0104186576307932
AggReturn,2019-01-31 00:00:00,800,16,0.0052297171664178
AggReturn,2019-01-31 00:00:00,800,4,0.022164309873956
AggReturn,2019-01-31 00:00:00,800,8,0.0133061067374831
AggReturn,2019-02-01 00:00:00,1200,12,-0.0060322236183424
AggReturn,2019-02-01 00:00:00,1200,16,-0.0012121212008685
AggReturn,2019-02-01 00:00:00,1200,4,0.0068832543332742
AggReturn,2019-02-01 00:00:00,1200,8,0.0020204536527121
AggReturn,2019-02-01 00:00:00,300,12,0.0065589954818122
AggReturn,2019-02-01 00:00:00,300,16,0.0058922015413208
AggReturn,2019-02-01 00:00:00,300,4,0.0028755872950788
AggReturn,2019-02-01 00:00:00,300,8,0.0075660564884121
AggReturn,2019-02-01 00:00:00,500,12,0.0035478223226018
AggReturn,2019-02-01 00:00:00,500,16,0.0057906941351827
